code,description,merge_explanation,original_code,quote,source
Curiosity About Participation,Participants show interest in understanding what motivates others to join clinical trials.,,"[""Curiosity About Participation""]","[{""text"": ""[{\""text\"": \""I wanted to join this to see what really is entailed.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv""}]",6_R24FG_HF_Group_Mayo_initial_codes.csv
Curiosity About Project Development,"The user expresses curiosity about the project and its potential usefulness, indicating engagement with the topic.",,"[""Curiosity About Project Development""]","[{""text"": ""[{\""text\"": \""It sounds interesting. Sounds good. Sounds like it could be useful.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}]",5_R24FG_HM_Group_GNV_initial_codes.csv
Curiosity About Research Studies,Participants express curiosity about the types and outcomes of research studies.,,"[""Curiosity About Research Studies""]","[{""text"": ""[{\""text\"": \""It was useful to hear about some examples of what research studies have done.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}]",5_R24FG_HM_Group_GNV_initial_codes.csv
Curiosity About Studies,The user is motivated by curiosity to learn about the studies they participate in.,,"[""Curiosity About Studies""]","[{""text"": ""[{\""text\"": \""Just to find out what they were studying, how they were going about it, that type of thing kind of intrigues me.\"", \""source\"": \""8_R24FG_HF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""8_R24FG_HF_Individual_GNV_initial_codes.csv""}]",8_R24FG_HF_Individual_GNV_initial_codes.csv
Data Contribution,Participants aim to contribute data that may lead to future medical discoveries and improvements.,,"[""Data Contribution""]","[{""text"": ""[{\""text\"": \""You're volunteering to provide information to help expand the data on certain subjects.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv""}]",13_R24FG_HM_Group_FIU_initial_codes.csv
Demographic Relevance,Users appreciate the idea of using demographic information to tailor health recommendations and understand health risks.,,"[""Demographic Relevance""]","[{""text"": ""[{\""text\"": \""I would be fine with that level, with the demographics, because I know that there's certain cultures that have different diseases.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv""}]",14_R24FG_WF_Group_GNV_initial_codes.csv
Desire for Clarity,Participants seek clear explanations about trial procedures and expectations to make informed decisions.,,"[""Desire for Clarity""]","[{""text"": ""[{\""text\"": \""I do not feel like they explained what was going to happen properly.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}]",7_R24FG_HF_Group_GNV_initial_codes.csv
"Desire for Clear, Detailed Information","Users seek clear, detailed information and instructions about clinical trials to make informed decisions.","These codes were merged due to their common theme of emphasizing the importance of clarity and detail in communication regarding clinical trials, which is crucial for informed decision-making.","[""Desire for Detailed Information"", ""Desire for Clear Information"", ""Desire for Clear Instructions"", ""Desire for Clear Communication"", ""Clarity in Communication""]","[{""text"": ""[{\""text\"": \""I really like details. To be convinced in something.\"", \""source\"": \""15_R24FG_WF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""I would hope it has to do with, you know, research being out on a registry.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}, {\""text\"": \""I want to do it but I\\u2019m like, 'But I don\\u2019t have any instructions here.'\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}, {\""text\"": \""She was really clear. Yeah. I liked it.\"", \""source\"": \""1_R24FG_BF_Group_UF_initial_codes.csv\""}, {\""text\"": \""Need to define trials and studies.\"", \""source\"": \""12_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""15_R24FG_WF_Individual_GNV_initial_codes.csv, 14_R24FG_WF_Group_GNV_initial_codes.csv, 6_R24FG_HF_Group_Mayo_initial_codes.csv, 1_R24FG_BF_Group_UF_initial_codes.csv, 12_R24FG_HM_Individual_GNV_initial_codes.csv""}]","15_R24FG_WF_Individual_GNV_initial_codes.csv, 14_R24FG_WF_Group_GNV_initial_codes.csv, 6_R24FG_HF_Group_Mayo_initial_codes.csv, 1_R24FG_BF_Group_UF_initial_codes.csv, 12_R24FG_HM_Individual_GNV_initial_codes.csv"
Desire for Comprehensive Care,"The user values a holistic approach to their healthcare, involving multiple specialists.",,"[""Desire for Comprehensive Care""]","[{""text"": ""[{\""text\"": \""It was crucial that these doctors look at my entire record and communicate with each other.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv""}]",9_R24FG_WF_Individual_GNV_initial_codes.csv
Desire for Effective Treatments,"The user is seeking alternative treatments, indicating a sense of urgency in finding effective medical solutions.",,"[""Desire for Effective Treatments""]","[{""text"": ""[{\""text\"": \""I'm glad to get into a trial if it looked like something was working for somebody.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}]",5_R24FG_HM_Group_GNV_initial_codes.csv
Desire for Efficient Information Delivery,Users appreciate tools that provide efficient information while still valuing human interaction.,,"[""Desire for Efficient Information Delivery""]","[{""text"": ""[{\""text\"": \""This will save time because you know, like sort of the same explanation.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv""}]",6_R24FG_HF_Group_Mayo_initial_codes.csv
Desire for Engagement in Health Decisions,"The user wants to be actively engaged in their health decisions, asking questions and seeking clarity.",,"[""Desire for Engagement in Health Decisions""]","[{""text"": ""[{\""text\"": \""It's up to you to ask questions, try to understand what's going on.\"", \""source\"": \""15_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""15_R24FG_WF_Individual_GNV_initial_codes.csv""}]",15_R24FG_WF_Individual_GNV_initial_codes.csv
Desire for Engaging Communication,"Users want communication that is lively and engaging, reflecting their cultural background and encouraging participation.",,"[""Desire for Engaging Communication""]","[{""text"": ""[{\""text\"": \""I would like to see somebody like that, you know, somebody that can express, you know, with more action, want to see us.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv""}]",6_R24FG_HF_Group_Mayo_initial_codes.csv
Desire for Engaging Presentation,Participants prefer engaging and lively presentations when learning about clinical trials.,,"[""Desire for Engaging Presentation""]","[{""text"": ""[{\""text\"": \""If you're going to do something like this, you need to be a little bit more alive.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv""}]",4_R24FG_CF_Group_Villages_initial_codes.csv
Desire for Engaging Studies,"Participants prefer studies that are engaging and interesting, enhancing their willingness to participate.",,"[""Desire for Engaging Studies""]","[{""text"": ""[{\""text\"": \""I think it's when they're fun. I think that's really interesting.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}]",7_R24FG_HF_Group_GNV_initial_codes.csv
Desire for Follow-Up Resources,Participants appreciate the idea of having follow-up resources to discuss with their doctors.,,"[""Desire for Follow-Up Resources""]","[{""text"": ""[{\""text\"": \""That would be great to have in the hands of doctors that don't usually think about this.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}]",5_R24FG_HM_Group_GNV_initial_codes.csv
Desire for Health Information,The participant wants to receive health information that is relevant to their personal health issues.,,"[""Desire for Health Information""]","[{""text"": ""[{\""text\"": \""If they could figure out something, you know, with that, but I don't exactly understand what I\\u2019m, you know, how I\\u2019m supposed to answer.\"", \""source\"": \""16_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""16_R24FG_WF_Individual_GNV_initial_codes.csv""}]",16_R24FG_WF_Individual_GNV_initial_codes.csv
Desire for Language Accessibility,"Users want options for communication in their preferred language, especially Spanish.",,"[""Desire for Language Accessibility""]","[{""text"": ""[{\""text\"": \""I would like to have the option of the person speaking Spanish.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv""}]",6_R24FG_HF_Group_Mayo_initial_codes.csv
Desire for Personalized Guidance,Participants seek personalized information and clear next steps regarding clinical trials relevant to their health.,These codes were merged because they both emphasize the participants' need for tailored information and guidance in navigating clinical trials.,"[""Desire for Personalized Information"", ""Desire for Personalization"", ""Clarify Next Steps""]","[{""text"": ""[{\""text\"": \""If there would be a research thing that I thought, you know, they thought would help me, I might would be interested in it.\"", \""source\"": \""16_R24FG_WF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""If you had a character that represented me, that would be more interesting.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}, {\""text\"": \""Where do you go from, from that point? What's, what's the like, the next step?\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""16_R24FG_WF_Individual_GNV_initial_codes.csv, 7_R24FG_HF_Group_GNV_initial_codes.csv, 13_R24FG_HM_Group_FIU_initial_codes.csv""}]","16_R24FG_WF_Individual_GNV_initial_codes.csv, 7_R24FG_HF_Group_GNV_initial_codes.csv, 13_R24FG_HM_Group_FIU_initial_codes.csv"
Desire for Personalized Information,The participant prefers personalized communication regarding clinical trials relevant to their health.,,"[""Desire for Personalized Information""]","[{""text"": ""[{\""text\"": \""I would love it... if you can interact with the [university name] health system.\"", \""source\"": \""12_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""12_R24FG_HM_Individual_GNV_initial_codes.csv""}]",12_R24FG_HM_Individual_GNV_initial_codes.csv
Desire for Personalized Interaction,Users value personalized interactions that acknowledge their unique experiences and histories.,,"[""Desire for Personalized Interaction""]","[{""text"": ""[{\""text\"": \""That level of personal, personalized treatment... you know my history.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv""}]",6_R24FG_HF_Group_Mayo_initial_codes.csv
Desire for Support in Technology Navigation,"Users want assistance in navigating technology, especially for those less familiar with it.",,"[""Desire for Support in Technology Navigation""]","[{""text"": ""[{\""text\"": \""They need to figure it out the way to get to these people and help these people more.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv""}]",6_R24FG_HF_Group_Mayo_initial_codes.csv
Desire for User-Friendly Information,"The user seeks information that is easy to understand and navigate, reflecting a need for user-friendly resources.",,"[""Desire for User-Friendly Information""]","[{""text"": ""[{\""text\"": \""I wish that there had been something like that... to find all these clinical trials.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}]",5_R24FG_HM_Group_GNV_initial_codes.csv
Differentiating Research Studies,Participants seek to understand the distinction between clinical trials and broader research studies.,,"[""Differentiating Research Studies""]","[{""text"": ""[{\""text\"": \""Because, like, this a pandemic then you guys have to be doing it on the field.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}]",5_R24FG_HM_Group_GNV_initial_codes.csv
Digital Health Management Preference,Users value digital tools for effective health management and convenience.,These codes were merged because they both emphasize the importance of digital tools in managing personal health information and highlight user appreciation for their convenience.,"[""Preference for Digital Health Tools"", ""Personal Health Management""]","[{""text"": ""[{\""text\"": \""It's a godsend.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""I've had two different apps right now on my phone... I could add some past health history to it.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv, 17_R24FG_WM_Group_Villages_initial_codes.csv""}]","9_R24FG_WF_Individual_GNV_initial_codes.csv, 17_R24FG_WM_Group_Villages_initial_codes.csv"
Diversity in Health Resources,Advocating for diverse representation and cultural sensitivity in health studies and communication resources.,"These codes were merged due to their shared focus on the importance of diversity and representation in health-related contexts, emphasizing both representation in studies and cultural sensitivity.","[""Diversity in Representation"", ""Access to Diverse Studies"", ""Cultural Sensitivity""]","[{""text"": ""[{\""text\"": \""You might want somebody with an Asian ethnicity... more of a Latino ethnicity.\"", \""source\"": \""8_R24FG_HF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""I want to make sure that diversity is included in the programs.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}, {\""text\"": \""I enjoy diversity... it's a pleasant challenge to communicate with people that are not like me.\"", \""source\"": \""10_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""8_R24FG_HF_Individual_GNV_initial_codes.csv, 3_R24FG_CF_Group_Villages_initial_codes.csv, 10_R24FG_HM_Individual_GNV_initial_codes.csv""}]","8_R24FG_HF_Individual_GNV_initial_codes.csv, 3_R24FG_CF_Group_Villages_initial_codes.csv, 10_R24FG_HM_Individual_GNV_initial_codes.csv"
Doctor Interaction Comfort,"Users want to feel comfortable discussing clinical trials with their doctors, facilitated by informative materials.",,"[""Doctor Interaction Comfort""]","[{""text"": ""[{\""text\"": \""That gives you a semi-feel that the doctor approved that, that positioning.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv""}]",13_R24FG_HM_Group_FIU_initial_codes.csv
Doctor-Patient Communication,Users value effective communication with their doctors regarding clinical trials and treatment options.,,"[""Doctor-Patient Communication""]","[{""text"": ""[{\""text\"": \""I would rather talk to my doctor and have him or her look at this.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv""}]",4_R24FG_CF_Group_Villages_initial_codes.csv
Download Question Guide,Users seek to download a guide that helps them prepare questions for discussions with their doctors regarding clinical trials.,,"[""Download Question Guide""]","[{""text"": ""[{\""text\"": \""I think it's very helpful. Definitely going to make you go more comfortable when you decide to get into one of these.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv""}]",13_R24FG_HM_Group_FIU_initial_codes.csv
Downloadable Resources,Users value the ability to download resources for later reference.,,"[""Downloadable Resources""]","[{""text"": ""[{\""text\"": \""I like the copy link.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Ease of Access,Participants want easy access to information about research studies.,,"[""Ease of Access""]","[{""text"": ""[{\""text\"": \""How do they get connected to a great research study being done by [university name]?\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Ease of Access to Information,Users want easy access to their health information and resources without unnecessary barriers.,,"[""Ease of Access to Information""]","[{""text"": ""[{\""text\"": \""You got a lot more people probably don't go in as much to the doctor's office.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv""}]",14_R24FG_WF_Group_GNV_initial_codes.csv
Ease of Use,Users desire a straightforward and intuitive process for navigating the application to find information quickly.,,"[""Ease of Use""]","[{""text"": ""[{\""text\"": \""Yeah, simple enough. Yeah.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv""}]",13_R24FG_HM_Group_FIU_initial_codes.csv
Effective Communication,Users value clear and effective communication from presenters to enhance understanding.,,"[""Effective Communication""]","[{""text"": ""[{\""text\"": \""He explained that part good. It was clear when he explained it.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}]",7_R24FG_HF_Group_GNV_initial_codes.csv
Eligibility Inquiry for Trials,Users seek to understand their eligibility for clinical trials and research studies before proceeding.,These codes were merged due to their common theme of users expressing a need to know and understand eligibility criteria for participation in clinical trials and research studies.,"[""Determine Eligibility"", ""Interest in Clinical Trial Eligibility"", ""Understand Eligibility Requirements""]","[{""text"": ""[{\""text\"": \""I would just because I think I would probably just go right to, 'Am I eligible? Where to start?'\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}, {\""text\"": \""I'd be nosy and want to look and see about what makes me qualify.\"", \""source\"": \""8_R24FG_HF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""I don\\u2019t understand 'Download question guide.' What is the question, download your questions, a guide of what you could ask?\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv, 8_R24FG_HF_Individual_GNV_initial_codes.csv, 3_R24FG_CF_Group_Villages_initial_codes.csv""}]","17_R24FG_WM_Group_Villages_initial_codes.csv, 8_R24FG_HF_Individual_GNV_initial_codes.csv, 3_R24FG_CF_Group_Villages_initial_codes.csv"
Encouragement for Participation,The goal is to encourage others to participate in clinical trials through relatable testimonials.,,"[""Encouragement for Participation""]","[{""text"": ""[{\""text\"": \""Maybe have examples of people that have participated and their feedback.\"", \""source\"": \""2_R24FG_BF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""2_R24FG_BF_Individual_GNV_initial_codes.csv""}]",2_R24FG_BF_Individual_GNV_initial_codes.csv
Encouragement from Doctors,The participant values encouragement and recommendations from their doctor regarding trial participation.,,"[""Encouragement from Doctors""]","[{""text"": ""[{\""text\"": \""If it tells me, give me some options of, 'Hey, we think that this might be good for you.'\"", \""source\"": \""12_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""12_R24FG_HM_Individual_GNV_initial_codes.csv""}]",12_R24FG_HM_Individual_GNV_initial_codes.csv
Engagement in Informed Decisions,Participants seek active involvement and comprehensive information to make informed choices about health decisions and clinical trial participation.,These codes were merged because they all emphasize the importance of participant engagement and the need for detailed information to facilitate informed decision-making in health-related contexts.,"[""Engagement in Health Decisions"", ""Informed Decision-Making"", ""Desire for Detailed Information""]","[{""text"": ""[{\""text\"": \""You have to give them a reason to do it... you have to have get them to be engaged.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}, {\""text\"": \""I thought it was very informative. It took... if I had not been in clinical research trials, it would have given me an insight that I didn't even know.\"", \""source\"": \""11_R24FG_HM_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""I want to know a little bit more about that.\"", \""source\"": \""2_R24FG_BF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv, 11_R24FG_HM_Individual_GNV_initial_codes.csv, 2_R24FG_BF_Individual_GNV_initial_codes.csv""}]","4_R24FG_CF_Group_Villages_initial_codes.csv, 11_R24FG_HM_Individual_GNV_initial_codes.csv, 2_R24FG_BF_Individual_GNV_initial_codes.csv"
Engagement in Research,The aim to participate in medical research for personal and communal health benefits.,,"[""Engagement in Research""]","[{""text"": ""[{\""text\"": \""Interesting stuff like that, that comes out of only a research study.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv""}]",9_R24FG_WF_Individual_GNV_initial_codes.csv
Engagement in Research Participation,"The user shows interest in participating in research studies, reflecting a proactive approach to their health.",,"[""Engagement in Research Participation""]","[{""text"": ""[{\""text\"": \""I'll be glad to get into a trial if it looked like something was working.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}]",5_R24FG_HM_Group_GNV_initial_codes.csv
Engagement through Gamification,Users are interested in gamified elements that make the experience more enjoyable and engaging.,,"[""Engagement through Gamification""]","[{""text"": ""[{\""text\"": \""I would approach it like a game almost... you want to enjoy what they're doing and want to participate.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}]",7_R24FG_HF_Group_GNV_initial_codes.csv
Engagement with Content,Participants seek engaging and relevant content when learning about research studies.,,"[""Engagement with Content"", ""Engagement with Content"", ""Engagement with Content""]","[{""text"": ""[{\""text\"": \""I think if you\\u2019re trying to get somebody to move ahead to the next step.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}, {""text"": ""[{\""text\"": \""It looks like an advertisement that I would just immediately change the channel because I don't want to look at it.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}, {""text"": ""[{\""text\"": \""Might keep your attention more.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]","7_R24FG_HF_Group_GNV_initial_codes.csv, 17_R24FG_WM_Group_Villages_initial_codes.csv"
Engagement with Educational Resources,The interviewee appreciates educational resources that provide information about clinical trials in an engaging manner.,,"[""Engagement with Educational Resources""]","[{""text"": ""[{\""text\"": \""I think it would be very helpful... playing in the waiting room of oncology.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv""}]",14_R24FG_WF_Group_GNV_initial_codes.csv
Engagement with Technology,Participants express interest in engaging with technology that facilitates understanding of research studies.,,"[""Engagement with Technology"", ""Engagement with Technology""]","[{""text"": ""[{\""text\"": \""This is just kind of like a first initiation of like, this is the idea of having like a chat format for Alex.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv""}, {""text"": ""[{\""text\"": \""I thought that everything that was there was appropriate.\"", \""source\"": \""11_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""11_R24FG_HM_Individual_GNV_initial_codes.csv""}]","11_R24FG_HM_Individual_GNV_initial_codes.csv, 13_R24FG_HM_Group_FIU_initial_codes.csv"
Engagement with Virtual Assistants,Participants are interested in using virtual assistants to navigate health information and research studies.,,"[""Engagement with Virtual Assistants""]","[{""text"": ""[{\""text\"": \""Your goal is to do it without... someone else that you've hired to have to answer the question.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Engaging Participation Experience,Users seek an engaging and straightforward process for signing up and participating in clinical trials with interactive features.,These codes were merged because both emphasize the importance of simplifying user engagement in clinical trials through interactive and user-friendly processes.,"[""Simplify Participation Process"", ""Interactive Learning""]","[{""text"": ""[{\""text\"": \""If it took way too much time or something, if you had to drive far, or something like that.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}, {\""text\"": \""Make it interactive. I can ask the lady a question.\"", \""source\"": \""10_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv, 10_R24FG_HM_Individual_GNV_initial_codes.csv""}]","3_R24FG_CF_Group_Villages_initial_codes.csv, 10_R24FG_HM_Individual_GNV_initial_codes.csv"
Engaging Visual Elements,"Users want engaging visual elements, such as highlighted words or animations, to maintain interest.",,"[""Engaging Visual Elements""]","[{""text"": ""[{\""text\"": \""I would like to see highlighting words that they may speak that relates to whatever they're talking about.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv""}]",3_R24FG_CF_Group_Villages_initial_codes.csv
Enjoyable Experience,"The user seeks enjoyable experiences while participating in clinical trials, valuing the process itself.",,"[""Enjoyable Experience""]","[{""text"": ""[{\""text\"": \""It was enjoyable. It was interesting.\"", \""source\"": \""8_R24FG_HF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""8_R24FG_HF_Individual_GNV_initial_codes.csv""}]",8_R24FG_HF_Individual_GNV_initial_codes.csv
Enjoying Quality of Life,The intention to maintain a good quality of life despite health challenges.,,"[""Enjoying Quality of Life""]","[{""text"": ""[{\""text\"": \""He's enjoying working on this car. He likes to drag race cars.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv""}]",9_R24FG_WF_Individual_GNV_initial_codes.csv
Ensure Accessibility of Information,Users desire that information about clinical trials is accessible and easy to understand for all age groups.,,"[""Ensure Accessibility of Information""]","[{""text"": ""[{\""text\"": \""If my dad was using this when he was looking, he wouldn't have understood it.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv""}]",3_R24FG_CF_Group_Villages_initial_codes.csv
Equity in Access,"Participants express concern about the unequal availability of clinical trials across different communities, particularly marginalized groups.",,"[""Equity in Access""]","[{""text"": ""[{\""text\"": \""I don't think that they are offered in, um, you know, the black or brown communities as they are in other communities.\"", \""source\"": \""1_R24FG_BF_Group_UF_initial_codes.csv\""}]"", ""source"": ""1_R24FG_BF_Group_UF_initial_codes.csv""}]",1_R24FG_BF_Group_UF_initial_codes.csv
Evaluate Avatar Interaction,Users want to assess the effectiveness of the avatar in conveying information about clinical trials.,,"[""Evaluate Avatar Interaction""]","[{""text"": ""[{\""text\"": \""I liked her better when she started talking-- very warm.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv""}]",3_R24FG_CF_Group_Villages_initial_codes.csv
Expectation of Study Outcomes,The user wants to understand the expected outcomes and duration of clinical trials before participating.,,"[""Expectation of Study Outcomes""]","[{""text"": ""[{\""text\"": \""Having an idea, yes. Your expectations of the study.\"", \""source\"": \""15_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""15_R24FG_WF_Individual_GNV_initial_codes.csv""}]",15_R24FG_WF_Individual_GNV_initial_codes.csv
Facilitating Research Participation,Users express a desire for information and resources to encourage participation in clinical trials aligned with their health needs.,"These codes were merged because they all emphasize the importance of information and support in encouraging individuals to participate in clinical research, highlighting a common theme of enhancing awareness and comfort.","[""Interest in Research Participation"", ""Encouraging Clinical Trial Participation"", ""Need for Information on Research Participation""]","[{""text"": ""[{\""text\"": \""I would depending on what it is... if it's something that I can participate in.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}, {\""text\"": \""I think at a minimum, it will start a dialogue with their doctor.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}, {\""text\"": \""I wonder, you know, how can we get more information about that kind of research.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv, 6_R24FG_HF_Group_Mayo_initial_codes.csv""}]","14_R24FG_WF_Group_GNV_initial_codes.csv, 6_R24FG_HF_Group_Mayo_initial_codes.csv"
